"belang" "moskee" "koran"
"1" 5 1 1
"2" 1 1 1
"3" 1 1 1
"4" 1 1 1
"5" 3 1 1
"6" 1 1 1
"7" 3 1 1
"8" 1 1 1
"9" 1 1 1
"10" 3 1 1
"11" 3 1 1
"12" 3 1 1
"13" 1 1 1
"14" 3 1 1
"15" 3 1 1
"16" 3 1 1
"17" 3 1 1
"18" 3 1 1
"19" 3 1 1
"20" 3 1 1
"21" 3 1 1
"22" 4 3 3
"23" 3 1 1
"24" 5 1 1
"25" 3 1 1
"26" 3 1 1
"27" 2 1 1
"28" 3 1 1
"29" 4 1 1
"30" 2 1 1
"31" 2 1 1
"32" 3 1 4
"33" 1 1 1
"34" 2 1 1
"35" 3 2 2
"36" 1 1 1
"37" 3 1 1
"39" 2 1 1
"40" 3 1 1
"41" 4 1 1
"42" 1 1 1
"43" 4 3 4
"44" 1 1 1
"45" 3 1 1
"46" 4 1 1
"47" 3 1 1
"48" 1 1 1
"49" 3 1 1
"50" 4 1 1
"51" 5 4 3
"52" 4 1 1
"53" 1 1 1
"54" 4 1 1
"55" 3 1 1
"56" 3 1 1
"57" 3 1 1
"58" 2 1 1
"59" 4 1 1
"60" 3 1 1
"61" 3 1 1
"62" 3 1 1
"63" 3 1 1
"64" 3 1 1
"65" 4 1 1
"66" 4 1 1
"67" 4 1 1
"68" 2 1 1
"69" 3 1 1
"70" 2 1 1
"71" 3 1 1
"72" 4 1 1
"74" 5 1 1
"75" 4 1 1
"76" 1 1 1
"77" 1 1 1
"78" 4 1 1
"79" 3 1 1
"80" 4 1 1
"81" 3 1 1
"82" 1 1 1
"83" 4 1 2
"84" 3 1 1
"85" 3 1 1
"86" 5 1 1
"87" 3 1 1
"88" 2 1 1
"89" 1 1 1
"90" 4 1 1
"91" 2 1 1
"92" 4 1 1
"93" 2 1 1
"94" 3 1 1
"95" 3 1 1
"96" 3 1 1
"97" 4 1 1
"98" 3 1 1
"99" 4 1 1
"100" 5 1 1
"101" 3 1 1
"102" 4 1 1
